"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
contacts_weekly,ambiente_social,,checkbox,"En una semana normal, ¿con cuántas de las siguientes personas tiene contacto? Entendiendo por contacto tanto el contacto directo como el telefónico","0, Hermano/a | 1, Familia política | 2, Otros parientes | 3, Amigos cercanos | 4, Vecinos | 5, Compañeros de trabajo | 6, Jefe/supervisor | 7, Otros conocidos | 8, Profesionales de la asistencia | 9, Miembros del mismo grupo o club",,,,,,,,,,,,
contacts_help,ambiente_social,,radio,"Si tuviera problemas o necesitara ayuda, ¿tendría a quien recurrir para pedir ayuda?","0, No| 1, Sí",,,,,,,,,,,,
mh_family_depr,ambiente_social,,checkbox,"Alguno de estos miembros de la familia ha tenido alguna vez depresión?:","0, Padres | 1,Hermanos | 2, Hijos",,,,,,,,,,,,
mh_relatives_depr,ambiente_social,,radio,"¿Algún otro familiar ha tenido alguna vez depresión?","0, No| 1, Sí",,,,,,,,,,,,
mh_relatives_depr_who,ambiente_social,,text,"En caso afirmativo, quién:","0, No| 1, Sí",,,,,,"[mh_relatives_depr] = '1'",,,,,,
mh_smoking,ambiente_social,,radio,¿Fuma?,"0, No, nunca he fumado|1, No fumo ahora, pero he fumado en el pasado|2, Sí",,,,,,,,,,,,
mh_cigarettes_num,ambiente_social,,text,"Si fuma, ¿cuántos cigarrillos, puros o cigarrillos de liar fuma al día?",,,integer,,,,"[mh_smoking] = '2'",,,,,,
mh_smoke_wakingup,ambiente_social,,radio,"¿Cuánto tiempo pasa desde que se levanta hasta que se fuma su primer cigarrillo/puro/cigarrillo de liar?","0, En los primeros 5 minutos|1, 6-30 minutos|2,31-60 minutos|3, Dspués de 60 minutos",,,,,,"[mh_smoking] = '2'",,,,,,
mh_phys_activity,ambiente_social,,radio,"¿Cuántas veces a la semana practica en su tiempo libre actividades físicas que le hagan sudar?","0, Nunca|1, Una vez por semana|2, Dos veces por semana|3, Tres veces por semana|4, Cuatro veces por semana o más",,,,,,,,,,,,
mh_hours_sleep,ambiente_social,,text,"En un día normal, ¿cuántas horas duerme?",,,integer,,,,,,,,,,
mh_longst_illness,ambiente_social,,radio,"¿Tiene alguna enfermedad de larga duración o discapacidad que le haya causado problemas durante un tiempo o que puedan afectarle durante un período de tiempo?","0, No| 1, Sí",,,,,,,,,,,,
mh_longst_illness_type,ambiente_social,,checkbox,"En caso afirmativo, por favor, indique cuáles de las siguientes condiciones le aplican:","0, Asma|1, Bronquitis crónica |2,Otro problema pulmonar|3,Diabetes|4, Estómago u otros problemas digestivos|5, Problemas de hígado|6, Problemas de riñón|7,Artritis reumatoide |8, Osteoartritis|9,Problemas de corazón|10, Cáncer|11, Hipertensión|12, Esclerosis múltiple|13,Epilepsia/convulsiones| 14, Ictus|15, Otro problema neurológico|16, Migraña| | 17, Problemas de espalda|18,Otro",,,,,,"[mh_longst_illness] = '1'",,,,,,
mh_cancer_type,ambiente_social,,text,"Por favor especificar el tipo de cáncer",,,,,,,"[mh_longst_illness_type(10)] = '1'",,,,,,
mh_illness_type,ambiente_social,,text,"Si tiene alguna otra enfermedad o discapacidad de larga duración, por favor especifique",,,,,,,"[mh_longst_illness_type(18)] = '1'",,,,,,
mh_srious_illness,ambiente_social,,radio,"¿Cuál de estas condiciones es la más importante o grave para usted?","0, Asma|1, Bronquitis crónica |2,Otro problema pulmonar|3,Diabetes|4, Estómago u otros problemas digestivos|5, Problemas de hígado|6, Problemas de riñón|7,Artritis reumatoide |8, Osteoartritis|9,Problemas de corazón|10, Cáncer|11, Hipertensión|12, Esclerosis múltiple|13,Epilepsia/convulsiones| 14, Ictus|15, Otro problema neurológico|16, Migraña| | 17, Problemas de espalda|18,Otro",,,,,,"[mh_longst_illness]=""1""",,,,,,
mh_ilness_onset_age,ambiente_social,,text,"  ¿Cuántos años tenía cuando empezó esta condición?",,,integer,,,,"[mh_longst_illness]=""1""",,,,,,
own_smartphone,uso_de_la_tecnologia,,radio,"1. ¿Posee actualmente un smartphone?","0, No| 1, Sí",,,,,,,,,,,,
smartphone_type,uso_de_la_tecnologia,,radio,"2. En caso de respuesta afirmativa, ¿qué tipo de smartphone?","0, Android | 1, iPhone",,,,,,"[own_smartphone]=""1""",,,,,,
android_model,uso_de_la_tecnologia,,text,"2a. En caso de que disponga de un smartphone Android, especifique marca y modelo",,,,,,,"[smartphone_type]=""0""",,,,,,
phone_contract,uso_de_la_tecnologia,,text,"3. ¿Con qué compañía tiene su contrato de telefonía móvil?",,,,,,,,,,,,,
phone_call_allowance,uso_de_la_tecnologia,,text,"4. ¿Qué tipo de tarifa tiene (llamadas mensuales, mensajes de texto y datos)?",,,,,,,,,,,,,
phone_text_allowance,uso_de_la_tecnologia,,text,"5. ¿Cuántos mensajes al mes tiene incluidos?",,,,,,,,,,,,,
phone_data_allowance,uso_de_la_tecnologia,,text,"6. ¿Cuántos datos al mes tiene incluidos?",,,,,,,,,,,,,
phone_contract_expiration,uso_de_la_tecnologia,,text,"7. ¿Cuándo vence su contrato de telefonía móvil?",,,date_dmy,,,,,,,,,,
no_smartphone,uso_de_la_tecnologia,,radio,"8. En caso de que no posea un smartphone, ¿estaría dispuesto a usar uno para los fines del presente estudio de investigación?","0, No| 1, Sí",,,,,,"[own_smartphone]=""0""",,,,,,
fitness_tracker_used,uso_de_la_tecnologia,,radio,"9. ¿Ha usado alguna vez antes una pulsera fitness de actividad?","0, No| 1, Sí",,,,,,,,,,,,
fitness_tracker_time_used,uso_de_la_tecnologia,,text,"10. ¿Durante cuánto tiempo la usó?",,,,,,,"[fitness_tracker_used]=""1""",,,,,,
fitness_tracker_using,uso_de_la_tecnologia,,radio,"11. ¿La utiliza aún?","0, No| 1, Sí",,,,,,"[fitness_tracker_used]=""1""",,,,,,
fitness_tracker_stopped,uso_de_la_tecnologia,,text,"12. Si no, ¿por qué dejó de usarla?",,,,,,,"[fitness_tracker_used]=""1"" and [fitness_tracker_using]=""0""",,,,,,
fitness_tracker_st_time,uso_de_la_tecnologia,,text,"13. ¿Cuánto tiempo hace que dejó de usarla?",,,,,,,"[fitness_tracker_used]=""1"" and [fitness_tracker_using]=""0""",,,,,,
wearable_at_job,uso_de_la_tecnologia,,radio,"14. ¿Tiene un trabajo que le impediría llevar la pulsera de actividad durante las horas de trabajo?","0, No| 1, Sí",,,,,,,,,,,,
mobile_phone_at_job,uso_de_la_tecnologia,,radio,"15. ¿Tiene un trabajo que le impediría usar el teléfono móvil durante largos períodos de tiempo?","0, No| 1, Sí",,,,,,,,,,,,
sapas_1,evaluacion_de_la_personalidad," Marque únicamente una respuesta si  piensa que esa descripción se ajusta a  la mayoría de las veces y en la mayoría de las situaciones",radio,"En general, ¿Tiene dificultad en hacer y mantener amigos?","0, No| 1, Sí",,,,,,,,,,sapas,,
sapas_2,evaluacion_de_la_personalidad,,radio,"¿Se describiría normalmente como una persona solitaria?","0, No| 1, Sí",,,,,,,,,,sapas,,
sapas_3,evaluacion_de_la_personalidad,,radio,"En general, ¿confía en los demás?","0, No| 1, Sí",,,,,,,,,,sapas,,
sapas_4,evaluacion_de_la_personalidad,,radio,"¿Pierde el temperament fácilmente?","0, No| 1, Sí",,,,,,,,,,sapas,,
sapas_5,evaluacion_de_la_personalidad,,radio,"¿Es usted normalmente una persona impulsiva?","0, No| 1, Sí",,,,,,,,,,sapas,,
sapas_6,evaluacion_de_la_personalidad,,radio,"¿Se preocupa normalmente por todo?","0, No| 1, Sí",,,,,,,,,,sapas,,
sapas_7,evaluacion_de_la_personalidad,,radio,"En general, ¿depende mucho de los demás?","0, No| 1, Sí",,,,,,,,,,sapas,,
sapas_8,evaluacion_de_la_personalidad,,radio,"En general, ¿Es usted perfeccionista?","0, No| 1, Sí",,,,,,,,,,sapas,,
ldasr_1,evaluacion_de_la_depresion_a_lo_largo_de_su_vida,"Las siguientes preguntas se refieren a periodos de tristeza y depresión en su vida.",radio,"¿Alguna vez ha tenido una temporada en su vida en la que se sintió triste, vacío/a o deprimido/a durante dos semanas o más?","0, Sí | 1, No",,,,,,,,,,,,
ldasr_2,evaluacion_de_la_depresion_a_lo_largo_de_su_vida,,radio,"Para la siguiente pregunta, piense en un período de dos semanas en su vida en el que estos sentimientos fueron peores. Durante este período de dos semanas, ¿con qué frecuencia se sintió de esta manera?","0, Casi cada día, la mayor parte del día |1, Con menos frecuencia que lo anterior",,,,,,"[ldasr_1]=""0""",,,,,,
ldasr_3,evaluacion_de_la_depresion_a_lo_largo_de_su_vida,,radio,"Ha tenido alguna vez en su vida un período de 2 semanas o más en el que perdió el interés en la mayoría de cosas como hobbies, trabajo, o actividades que normalmente le eran placenteras?","0, Sí | 1, No",,,,,,"[ldasr_1] = '1' or [ldasr_2]='1'",,,,,,
ldasr_4,evaluacion_de_la_depresion_a_lo_largo_de_su_vida,,radio,"Para la siguiente pregunta, piense en un período de dos semanas a lo largo de su vida en el que su pérdida de interés fue peor. Durante ese período de dos semanas, ¿con qué frecuencia se sintió de esa manera?","0, Casi cada día, la mayor parte del día |1, Con menos frecuencia que lo anterior",,,,,,"[ldasr_3] = '0'",,,,,,
ldasr_5,evaluacion_de_la_depresion_a_lo_largo_de_su_vida,,radio,"Durante ese período en el que se sintió triste, vacío/a o deprimido/a, ¿tuvo un período de dos semanas o más en el que perdió el interés en la mayoría de cosas como hobbies, trabajo o actividades que normalmente le eran placenteras?","0, Sí | 1, No",,,,,,"[ldasr_2]=""0""",,,,,,
ldasr_6,evaluacion_de_la_depresion_a_lo_largo_de_su_vida,,radio,"Para las siguientes preguntas, piense en un período de dos semanas a lo largo de su vida en el que su pérdida de interés fue peor. Durante ese período de dos semanas, ¿con qué frecuencia se sintió de esa manera?","0, Casi cada día, la mayor parte del día |1,Con menos frecuencia que lo anterior",,,,,,"[ldasr_5]=""0""",,,,,,
ldasr_7,evaluacion_de_la_depresion_a_lo_largo_de_su_vida,"Las personas que tienen períodos en los que se sienten tristes, vacías o deprimidas o pierden interés, a menudo tienen otros problemas al mismo tiempo. Durante este período de al menos dos semanas en el que se sintió triste, vacío/a o deprimido/a o perdió interés en las cosas:",radio,"¿ Le faltaba energía o se sentía más cansado/a de lo habitual?","0, Sí | 1, No",,,,,,"[ldasr_4]=""0"" or [ldasr_5]=""1"" or  [ldasr_6]=""1"" or  [ldasr_6]=""0""",,,,,,
ldasr_8,evaluacion_de_la_depresion_a_lo_largo_de_su_vida,,radio,"¿Tuvo menos hambre de lo habitual casi cada día?","0, Sí | 1, No",,,,,,"[ldasr_4]=""0"" or [ldasr_5]=""1"" or  [ldasr_6]=""1"" or  [ldasr_6]=""0""",,,,,,
ldasr_9,evaluacion_de_la_depresion_a_lo_largo_de_su_vida,,radio,"¿Perdió peso sin quererlo, hasta un kilo por semana durante varias semanas?","0, Sí | 1, No",,,,,,"[ldasr_4]=""0"" or [ldasr_5]=""1"" or  [ldasr_6]=""1"" or  [ldasr_6]=""0""",,,,,,
ldasr_10,evaluacion_de_la_depresion_a_lo_largo_de_su_vida,,text,"  ¿Alrededor de cuánto peso perdió durante esas semanas? ­­___kg",,kg,number,,,,"[ldasr_9] = '0'",,,,,,
ldasr_11,evaluacion_de_la_depresion_a_lo_largo_de_su_vida,"Durante este período de al menos dos semanas en el que se sintió triste, vacío/a o deprimido/a o perdió interés en las cosas:",radio,"¿Tuvo mucho más apetito de lo habitual casi cada día durante dos semanas o más?","0, Sí | 1, Sí, pero sólo por embarazo o un pico de crecimiento| 2, No",,,,,,"[ldasr_4]=""0"" or [ldasr_5]=""1"" or  [ldasr_6]=""1"" or  [ldasr_6]=""0""",,,,,,
ldasr_12,evaluacion_de_la_depresion_a_lo_largo_de_su_vida,,radio,"¿Comiste tanto que engordaste, hasta un Kilo por semana durante varias semanas?","0, Sí | 1, No",,,,,,"[ldasr_4]=""0"" or [ldasr_5]=""1"" or  [ldasr_6]=""1"" or  [ldasr_6]=""0""",,,,,,
ldasr_13,evaluacion_de_la_depresion_a_lo_largo_de_su_vida,,text,"Alrededor de cuánto se engordó durante esas semanas? __kg",,kg,number,,,,"[ldasr_12]=""0""",,,,,,
ldasr_14,evaluacion_de_la_depresion_a_lo_largo_de_su_vida,,radio,"¿ Tuvo problemas para dormir casi todas las noches, ya sea dificultad para conciliar el sueño, despertarse en medio de la noche o despertarse demasiado pronto?","0, Sí | 1, No",,,,,,"[ldasr_4]=""0"" or [ldasr_5]=""1"" or  [ldasr_6]=""1"" or  [ldasr_6]=""0""",,,,,,
ldasr_15,evaluacion_de_la_depresion_a_lo_largo_de_su_vida,,radio,"¿Se despertó al menos dos horas antes de lo que deseaba, cada día durante al menos dos semanas?","0, Sí | 1, No",,,,,,"[ldasr_14]=""0""",,,,,,
ldasr_16,evaluacion_de_la_depresion_a_lo_largo_de_su_vida,,radio,"¿Dormía demasiado casi cada día?","0, Sí | 1, No",,,,,,"[ldasr_4]=""0"" or [ldasr_5]=""1"" or  [ldasr_6]=""1"" or  [ldasr_6]=""0""",,,,,,
ldasr_17,evaluacion_de_la_depresion_a_lo_largo_de_su_vida,,radio,"¿Habló o se movió más lentamente de lo que es normal para usted casi todos los días, de manera que otras personas lo notaron?","0, Sí, hablaba o me movía más lentamente y otras personas lo notaron | 1,Sí, hablaba o me movía más lentamente pero otras personas no lo notaron | 2, No",,,,,,,,,,,,
ldasr_18,evaluacion_de_la_depresion_a_lo_largo_de_su_vida,,radio,"¿Tenía que moverse todo el tiempo, es decir, no podía quedarse quieto/a y tenía que andar de un lado a otro, o no podía mantener las manos quietas cuando estaba sentado/a, de manera que otras personas lo notaron?","0,Sí, tenía que estar moviéndome todo el tiempo y otras personas lo notaron, 1. Sí, tenía que moverme todo el tiempo pero otras personas no lo notaron   | 2, No",,,,,,"[ldasr_4]=""0"" or [ldasr_5]=""1"" or  [ldasr_6]=""1"" or  [ldasr_6]=""0""",,,,,,
ldasr_19,evaluacion_de_la_depresion_a_lo_largo_de_su_vida,,radio,"Durante este período de dos semanas, ¿tuvo mucha más dificultad para concentrarse de lo habitual?","0, Sí | 1, No",,,,,,"[ldasr_4]=""0"" or [ldasr_5]=""1"" or  [ldasr_6]=""1"" or  [ldasr_6]=""0""",,,,,,
ldasr_20,evaluacion_de_la_depresion_a_lo_largo_de_su_vida,,radio,"Durante este período, ¿fue capaz de decidirse sobre cosas con las que normalmente no había tenido problemas para decirse?","0, Sí | 1, No",,,,,,"[ldasr_4]=""0"" or [ldasr_5]=""1"" or  [ldasr_6]=""1"" or  [ldasr_6]=""0""",,,,,,
ldasr_21,evaluacion_de_la_depresion_a_lo_largo_de_su_vida,,radio,"A veces las personas se sienten abatidas, sienten que no son buenas o no valen para nada. Durante este período de dos semanas, ¿se sintió culpable o que no valía para nada?","0, Sí | 1, No",,,,,,"[ldasr_4]=""0"" or [ldasr_5]=""1"" or  [ldasr_6]=""1"" or  [ldasr_6]=""0""",,,,,,
ldasr_22,evaluacion_de_la_depresion_a_lo_largo_de_su_vida,,radio,"Durante este periodo de dos semanas, ¿pensó mucho sobre la muerte-ya sea la suya propia, la de alguien más, o en la muerte en general?","0, Sí | 1, No",,,,,,"[ldasr_4]=""0"" or [ldasr_5]=""1"" or  [ldasr_6]=""1"" or  [ldasr_6]=""0""",,,,,,
ldasr_23,evaluacion_de_la_depresion_a_lo_largo_de_su_vida,"Para las siguientes preguntas, por favor piense en los períodos de al menos dos semanas en su vida en los que se sintió triste, vacío/a o deprimido/a o perdió interés en las cosas.",radio,"¿Alguno de estos periodos de dos semanas o más afectó seriamente su capacidad para hacer su trabajo, cuidar de su casa o familia, o cuidar de sí mismo?","0, Sí | 1, No",,,,,,"[ldasr_4]=""0"" or [ldasr_5]=""1"" or  [ldasr_6]=""1"" or  [ldasr_6]=""0""",,,,,,
ldasr_24,evaluacion_de_la_depresion_a_lo_largo_de_su_vida,,text,"¿Cuánto tiempo duró el período más largo? Puede dar una estimación (semanas)",,semanas,integer,,,,"[ldasr_4]=""0"" or [ldasr_5]=""1"" or  [ldasr_6]=""1"" or  [ldasr_6]=""0""",,,,,,
ldasr_25,evaluacion_de_la_depresion_a_lo_largo_de_su_vida,,radio,"¿Cuántos períodos como este ha tenido en su vida?","0, 1 | 1, 2 o más",,,,,,"[ldasr_4]=""0"" or [ldasr_5]=""1"" or  [ldasr_6]=""1"" or  [ldasr_6]=""0""",,,,,,
ldasr_26,evaluacion_de_la_depresion_a_lo_largo_de_su_vida,,radio,"¿Ha tenido un período como este en los últimos 12 meses?","0, Sí | 1, No",,,,,,"[ldasr_4]=""0"" or [ldasr_5]=""1"" or  [ldasr_6]=""1"" or  [ldasr_6]=""0""",,,,,,
ldasr_35,evaluacion_de_la_depresion_a_lo_largo_de_su_vida,,radio,"¿Estás experimentando un período como este?","0, Sí | 1, No",,,,,,"[ldasr_4]=""0"" or [ldasr_5]=""1"" or  [ldasr_6]=""1"" or  [ldasr_6]=""0"" and [ldasr_26]=""0""",,,,,,
ldasr_27,evaluacion_de_la_depresion_a_lo_largo_de_su_vida,,text," Aproximadamente, ¿cuántos años tenía la primera vez que tuvo un período como este? (independientemente de que recibiera ayuda por ello o no)",,,integer,,,,"[ldasr_4]=""0"" or [ldasr_5]=""1"" or  [ldasr_6]=""1"" or  [ldasr_6]=""0""",,,,,,
ldasr_28,evaluacion_de_la_depresion_a_lo_largo_de_su_vida,,radio,"¿Le ha comentado alguna vez estos problemas a algún profesional (por ejemplo, un médico, psicólogo, trabajador social, enfermero/a, u otro profesional sanitario)?","0, Sí | 1, No",,,,,,"[ldasr_4]=""0"" or [ldasr_5]=""1"" or  [ldasr_6]=""1"" or  [ldasr_6]=""0""",,,,,,
ldasr_29,evaluacion_de_la_depresion_a_lo_largo_de_su_vida,,radio,"¿Ha tenido alguna vez contacto con una organización de servicios sociales por problemas que tuvo y que no estaban relacionados con su salud física? (por ejemplo, un instituto de salud mental, psicólogo o trabajo social)","0, Sí | 1, Sí en el pasado, pero ya no | 2, NO",,,,,,,,,,,,
ldasr_30,evaluacion_de_la_depresion_a_lo_largo_de_su_vida,,checkbox,"Por favor, marque los trastornos que le han sido diagnosticados alguna vez por un profesional sanitario o médico. Puede marcar más de una respuesta.","0, Depresión|1, Trastorno bipolar|2, Esquizofrenia o psicosis|3, Trastorno de la conducta alimentaria | 4, Trastorno de ansiedad|5, Trastorno de pánico|6, Trastorno obsesivo compulsivo|7, Trastorno por estrés postraumático|8, Fobia|9, TDA/TDAH|10, Adicción al alcohol|11, Adicción a drogas|12, Otro|13, Ninguno",,,,,,,,,,,,
ldasr_30a,evaluacion_de_la_depresion_a_lo_largo_de_su_vida,,text,"Si alguna vez un profesional o médico le ha diagnosticado algún otro trastorno, especifique",,,,,,,"[ldasr_30(12)] = '1'",,,,,,
ldasr_31,evaluacion_de_la_depresion_a_lo_largo_de_su_vida,,checkbox,"Por favor, marque los trastornos por los que usted ha recibido alguna vez tratamiento por parte de un médico o profesional sanitario. Puede marcar más de una respuesta","0, Depresión|1, Trastorno bipolar|2, Esquizofrenia o psicosis|3, Trastorno de la conducta alimentaria | 4, Trastorno de ansiedad|5, Trastorno de pánico|6, Trastorno obsesivo compulsivo|7, Trastorno por estrés postraumático|8, Fobia|9, TDA/TDAH|10, Adicción al alcohol|11, Adicción a drogas|12, Otro|13, Ninguno",,,,,,"[ldasr_30(0)] = '1' or [ldasr_30(1)] = '1' or [ldasr_30(2)] = '1' or [ldasr_30(3)] = '1' or [ldasr_30(4)] = '1' or [ldasr_30(5)] = '1' or [ldasr_30(6)] = '1' or [ldasr_30(7)] = '1' or [ldasr_30(8)] = '1' or [ldasr_30(9)] = '1' or [ldasr_30(10)] = '1' or [ldasr_30(11)] = '1' or [ldasr_30(12)] = '1'",,,,,,
ldasr_31a,evaluacion_de_la_depresion_a_lo_largo_de_su_vida,,text,"Si alguna vez ha sido tratado por un profesional o médico por algún otro trastorno, especifique",,,,,,,"[ldasr_32(7)] = '1'",,,,,,
ldasr_32,evaluacion_de_la_depresion_a_lo_largo_de_su_vida,,checkbox,"¿Alguna vez ha recibido alguno de los siguientes tratamientos? Puede marcar múltiples respuestas.","0, Antidepresivos|1, Psicoterapia (por ejemplo terapia cognitivo conductual, terapia interpersonal u otras consultas con un/a psicólogo/a o psicoterapeuta)|2, Programa on-line de ayuda o intervención e-salud (e-health)|3, Terapia ""Running"" o ejercicio físico|4, Terapia luminosa|5, Hospitalización en un hospital psiquiátrico|6, Terapia electroconvulsiva|7, Otro|8, Ninguno de estos tratamientos |",,,,,,,,,,,,
ldasr_32a,evaluacion_de_la_depresion_a_lo_largo_de_su_vida,,text,"Si alguna vez recibió otro tratamiento, especifique",,,,,,,"[ldasr_32(7)] = '1'",,,,,,
ldasr_33,evaluacion_de_la_depresion_a_lo_largo_de_su_vida,,text,"¿Cuánto mide en centímetros? Por favor, redondee su respuesta al número entero más próximo",,cm,integer,,,,,,,,,,
