"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
surname,contact_info,,text,Surname,,Surname,,,,y,,y,,,,,Surname
name,contact_info,,text,Name,,"First Name (name used on auto generated emails)",,,,y,,y,,,,,"First Name"
pref_name,contact_info,,text,"Preferred Name",,"Name preferred to be used (could be used on Survey auto generated email)",,,,y,,,,,,,"Preferred Name"
email,contact_info,,text,"Email Address",,"email used to distribute surveys to the participants",email,,,y,,y,,,,,
phone_number,contact_info,,text,"Phone Number",,,,,,y,,,,,,,"phone number for participant"
landline,contact_info,,text,Landline,,,,,,y,,,,,,,
preferred_means_of_contact,contact_info,,radio,"Preferred means of contact","1, Email | 2, Mobile phone | 3, Landline",,,,,,,,,,,,
address,contact_info,,text,Address,,,,,,y,,,,,,,"address for participant"
best_contact_name,contact_info,,text,"Best Contact Name",,,,,,y,,,,,,,"Contact information for friend or family who we can contact if the participant becomes unreachable (moves house, etc)."
best_contact_phone,contact_info,,text,"Best Contact Phone Number",,,,,,y,,,,,,,"Contact phone number for best contact name"
gp_name,contact_info,,text,"GP name",,,,,,y,,y,,,,,
gp_address,contact_info,,notes,"GP address",,,,,,y,,y,,,,,
date_of_birth,contact_info,,text,"Date of birth",,"for GP letter",,,,,,,RH,,,,
gp_contact_notes,contact_info,,notes,"GP contact notes",,,,,,y,,,,,,,
source_field,contact_info,Source,radio,Source,"1, BioResource | 2, PROMPT | 3, SELCoH | 4, Focus Group | 5, Participant initiated | 6, Other",,,,,,,,,,,,
source_field_other,contact_info,,text,"Other source",,,,,,,"[source_field] = '6'",,,,,,
participant_initiated_source,contact_info,,radio,"Participant-initiated source","1, Website | 2, Twitter | 3, MQ Mental Health | 4, Unsure | 5, Other",,,,,,"[source_field] = '5'",,,,,,
other_participant_intiated_source,contact_info,,text,"Other ",,,,,,,"[participant_initiated_source] = '5'",,,,,,
contact_info_notes,contact_info,"Enrolment notes",notes,"Contact Notes",,,,,,,,,,,,,
remote_enrolment,contact_info,,yesno,"Remote enrolment?",,,,,,,,,,,,,
enrolment_notes_field,contact_info,,notes,"Enrolment notes",,,,,,,,,,,,,
gp_letter_sent,contact_info,"GP letter",yesno,"GP Letter Sent ",,,,,,,,,,,,,
date_gp_letter_sent,contact_info,,text,"Date GP Letter Sent",,,date_dmy,,,,,,,,,,
calendar_reminders_added,contact_info,,yesno,"Calendar reminders ",,"1-month & 3-month (every 12 weeks ending after 6 recurrences)",,,,,,,,,,,
day_follow_up_call,contact_info,"Mandatory Contact",yesno,"3-Day Follow-up Call ",,,,,,,,,,,,,
day_follow_up_call_by,contact_info,,dropdown,"Call By","1, Faith | 2, Alina | 3, Katie | 4, Jessica | 5, Carolin",,,,,,"[day_follow_up_call] = '1'",,,,,,
day_follow_up_call_date,contact_info,,text,Date,,,date_dmy,,,,"[day_follow_up_call] = '1'",,,,,,
day_follow_up_call_notes,contact_info,,notes,Notes,,,,,,,"[day_follow_up_call] = '1'",,,,,,
week_follow_up_call,contact_info,,yesno,"1 Week Follow-Up Call",,,,,,,,,,,,,
week_follow_up_call_by,contact_info,,dropdown,"Call By","1, Faith | 2, Alina | 3, Katie | 4, Jessica | 5, Carolin",,,,,,"[week_follow_up_call] = '1'",,,,,,
week_follow_up_call_date,contact_info,,text,Date,,,date_dmy,,,,"[week_follow_up_call] = '1'",,,,,,
week_follow_up_call_notes,contact_info,,notes,Notes,,,,,,,"[week_follow_up_call] = '1'",,,,,,
month_follow_up_call,contact_info,,yesno,"1 Month Follow-Up Call",,,,,,,,,,,,,
month_follow_up_call_by,contact_info,,dropdown,"Call By","1, Alina | 2, Faith | 3, Katie | 4, Jessica | 5, Carolin",,,,,,"[month_follow_up_call] = '1'",,,,,,
month_follow_up_call_date,contact_info,,text,Date,,,date_dmy,,,,"[month_follow_up_call] = '1'",,,,,,
month_follow_up_call_notes,contact_info,,notes,Notes,,,,,,,"[month_follow_up_call] = '1'",,,,,,
pre_outcome_call_3,contact_info,,yesno,"3 Month Pre Outcome Assessment Call",,,,,,,,,,,,,
pre_outcome_by_3,contact_info,,dropdown,"Call By","1, Faith | 2, Alina | 3, Katie | 4, Jessica | 5, Carolin",,,,,,"[pre_outcome_call_3] = '1'",,,,,,
pre_outcome_date_3,contact_info,,text,Date,,,date_mdy,,,,"[pre_outcome_call_3] = '1'",,,,,,
pre_outcome_call_3_notes,contact_info,,notes,Notes,,,,,,,"[pre_outcome_call_3] = '1'",,,,,,
post_outcome_call_3,contact_info,,yesno,"3 Month Post Outcome Assessment Call",,,,,,,,,,,,,
post_outcome_by_3,contact_info,,dropdown,"Call By","1, Faith | 2, Alina | 3, Katie | 4, Jessica | 5, Carolin",,,,,,"[post_outcome_call_3] = '1'",,,,,,
post_outcome_date_3,contact_info,,text,Date,,,date_dmy,,,,"[post_outcome_call_3] = '1'",,,,,,
post_outcome_call_3_notes,contact_info,,notes,Notes,,,,,,,"[post_outcome_call_3] = '1'",,,,,,
pre_outcome_call_6,contact_info,,yesno,"6 Month Pre Outcome Assessment Call",,,,,,,,,,,,,
pre_outcome_by_6,contact_info,,dropdown,"Call By","1, Faith | 2, Alina | 3, Katie | 4, Jessica | 5, Carolin",,,,,,"[pre_outcome_call_6] = '1'",,,,,,
pre_outcome_date_6,contact_info,,text,Date,,,date_mdy,,,,"[pre_outcome_call_6] = '1'",,,,,,
pre_outcome_notes_6,contact_info,,notes,Notes,,,,,,,"[pre_outcome_call_6] = '1'",,,,,,
post_outcome_call_6,contact_info,,yesno,"6 Month Post Outcome Assessment Call",,,,,,,,,,,,,
post_outcome_by_6,contact_info,,dropdown,"Call By","1, Faith | 2, Alina | 3, Katie | 4, Jessica | 5, Carolin",,,,,,"[post_outcome_call_6] = '1'",,,,,,
post_outcome_date_6,contact_info,,text,Date,,,date_dmy,,,,"[post_outcome_call_6] = '1'",,,,,,
poct_outcome_notes_6,contact_info,,notes,Notes,,,,,,,"[post_outcome_call_6] = '1'",,,,,,
pre_outcome_call_9,contact_info,,yesno,"9 Month Pre Outcome Assessment Call",,,,,,,,,,,,,
pre_outcome_by_9,contact_info,,dropdown,"Call By","1, Faith | 2, Alina | 3, Katie | 4, Jessica | 5, Carolin",,,,,,"[pre_outcome_call_9] = '1'",,,,,,
pre_outcome_date_9,contact_info,,text,Date,,,date_mdy,,,,"[pre_outcome_call_9] = '1'",,,,,,
post_outcome_call_9,contact_info,,yesno,"9 Month Post Outcome Assessment Call",,,,,,,,,,,,,
post_outcome_by_9,contact_info,,dropdown,"Call By","1, Faith | 2, Alina | 3, Katie | 4, Jessica | 5, Carolin",,,,,,"[post_outcome_call_9] = '1'",,,,,,
post_outcome_date_9,contact_info,,text,Date,,,date_dmy,,,,"[post_outcome_call_9] = '1'",,,,,,
pre_outcome_call_12,contact_info,,yesno,"12 Month Pre Outcome Assessment Call",,,,,,,,,,,,,
pre_outcome_by_12,contact_info,,dropdown,"Call By","1, Faith | 2, Alina | 3, Katie | 4, Jessica | 5, Carolin",,,,,,"[pre_outcome_call_12] = '1'",,,,,,
pre_outcome_date_12,contact_info,,text,Date,,,date_mdy,,,,"[pre_outcome_call_12] = '1'",,,,,,
post_outcome_call_12,contact_info,,yesno,"12 Month Post Outcome Assessment Call",,,,,,,,,,,,,
post_outcome_by_12,contact_info,,dropdown,"Call By","1, Faith | 2, Alina | 3, Katie | 4, Jessica | 5, Carolin",,,,,,"[post_outcome_call_12] = '1'",,,,,,
post_outcome_date_12,contact_info,,text,Date,,,date_dmy,,,,"[post_outcome_call_12] = '1'",,,,,,
pre_outcome_call_15,contact_info,,yesno,"15 Month Pre Outcome Assessment Call",,,,,,,,,,,,,
pre_outcome_by_15,contact_info,,dropdown,"Call By","1, Faith | 2, Alina | 3, Katie | 4, Jessica | 5, Carolin",,,,,,"[pre_outcome_call_15] = '1'",,,,,,
pre_outcome_date_15,contact_info,,text,Date,,,date_mdy,,,,"[pre_outcome_call_15] = '1'",,,,,,
post_outcome_call_15,contact_info,,yesno,"15 Month Post Outcome Assessment Call",,,,,,,,,,,,,
post_outcome_by_15,contact_info,,dropdown,"Call By","1, Faith | 2, Alina | 3, Katie | 4, Jessica | 5, Carolin",,,,,,"[post_outcome_call_15] = '1'",,,,,,
post_outcome_date_15,contact_info,,text,Date,,,date_dmy,,,,"[post_outcome_call_15] = '1'",,,,,,
pre_outcome_call_18,contact_info,,yesno,"18 Month Pre Outcome Assessment Call",,,,,,,,,,,,,
pre_outcome_by_18,contact_info,,dropdown,"Call By","1, Faith | 2, Alina | 3, Katie | 4, Jessica | 5, Carolin",,,,,,"[pre_outcome_call_18] = '1'",,,,,,
pre_outcome_date_18,contact_info,,text,Date,,,date_mdy,,,,"[pre_outcome_call_18] = '1'",,,,,,
post_outcome_call_18,contact_info,,yesno,"18 Month Post Outcome Assessment Call",,,,,,,,,,,,,
post_outcome_by_18,contact_info,,dropdown,"Call By","1, Faith | 2, Alina | 3, Katie | 4, Jessica | 5, Carolin",,,,,,"[post_outcome_call_18] = '1'",,,,,,
post_outcome_date_18,contact_info,,text,Date,,,date_dmy,,,,"[post_outcome_call_18] = '1'",,,,,,
pre_outcome_call_21,contact_info,,yesno,"21 Month Pre Outcome Assessment Call",,,,,,,,,,,,,
pre_outcome_by_21,contact_info,,dropdown,"Call By","1, Faith | 2, Alina | 3, Katie | 4, Jessica | 5, Carolin",,,,,,"[pre_outcome_call_21] = '1'",,,,,,
pre_outcome_date_21,contact_info,,text,Date,,,date_mdy,,,,"[pre_outcome_call_21] = '1'",,,,,,
post_outcome_call_21,contact_info,,yesno,"21 Month Post Outcome Assessment Call",,,,,,,,,,,,,
post_outcome_by_21,contact_info,,dropdown,"Call By","1, Faith | 2, Alina | 3, Katie | 4, Jessica | 5, Carolin",,,,,,"[post_outcome_call_21] = '1'",,,,,,
post_outcome_date_21,contact_info,,text,Date,,,date_dmy,,,,"[post_outcome_call_21] = '1'",,,,,,
pre_outcome_call_24,contact_info,,yesno,"24 Month Pre Outcome Assessment Call",,,,,,,,,,,,,
pre_outcome_by_24,contact_info,,dropdown,"Call By","1, Faith | 2, Alina | 3, Katie | 4, Jessica | 5, Carolin",,,,,,"[pre_outcome_call_24] = '1'",,,,,,
pre_outcome_date_24,contact_info,,text,Date,,,date_mdy,,,,"[pre_outcome_call_24] = '1'",,,,,,
post_outcome_call_24,contact_info,,yesno,"24 Month Post Outcome Assessment Call",,,,,,,,,,,,,
post_outcome_by_24,contact_info,,dropdown,"Call By","1, Faith | 2, Alina | 3, Katie | 4, Jessica | 5, Carolin",,,,,,"[post_outcome_call_24] = '1'",,,,,,
post_outcome_date_24,contact_info,,text,Date,,,date_dmy,,,,"[post_outcome_call_24] = '1'",,,,,,
interview_interested,contact_info,"Process Evaluation Interviews",yesno,Interested?,,,,,,,,,,,,,
interview_booked,contact_info,,yesno,"Interview Booked?",,,,,,,"[interview_interested] = '1'",,,,,,
interview_date,contact_info,,text,"Interview Date",,,date_dmy,,,,"[interview_interested] = '1'",,,,,,
interview_by,contact_info,,dropdown,"Interview By","1, Faith | 2, Alina | 3, Katie | 4, Jessica | 5, Carolin",,,,,,"[interview_interested] = '1'",,,,,,
interview_notes,contact_info,,notes,Notes,,,,,,,"[interview_interested] = '1'",,,,,,
withdrawal,contact_info,Withdrawal,yesno,Withdrawal,,,,,,,,,,,,,
withdrawal_date,contact_info,,text,Date,,,date_dmy,,,,"[withdrawal] = '1'",,,,,,
reason_for_withdrawal,contact_info,,notes,"Reason for Withdrawal

Please include (DD/MM/YYYY):
<span style=""color:red; font-size:small"">
<ul>
<li>Tech returned (date)</li>
<li>MP portal and Mindstrong disconnected (date)</li>
<li>Logged on spreadsheet (date)</li>
<li>Turned off survey invites (date)</li>
<li>Confirmed we can keep the data (date)</li>
</ul>
</span>",,,,,,,"[withdrawal] = '1'",,,,,,
withdrawal_reason,contact_info,,dropdown,"Withdrawal Reason","1, Withdrawal of Consent | 2, Withdrawal due to intercurrent illness | 3, Withdrawal due to AE | 4, Withdrawal due to protocol violation | 5, Withdrawn due to switch to android | 6, Drop-out due to problems with the study apps | 7, Withdrawn due to administrative or other reasons | 8, Lost to follow-up",,,,,,,,,,,,
withdrawal_notes,contact_info,,notes,Notes,,"e.g. tips for future",,,,,"[withdrawal] = '1'",,,,,,
withdrawal_interview_interested,contact_info,"Withdrawal Interview",yesno,Interested?,,,,,,,"[withdrawal] = '1'",,,,,,
withdrawal_interview_booked,contact_info,,yesno,"Interview Booked?",,,,,,,"[withdrawal_interview_interested] = '1'",,,,,,
withdrawal_interview_by,contact_info,,dropdown,"Interview By","1, Faith | 2, Alina | 3, Katie | 4, Jessica | 5, Carolin",,,,,,"[withdrawal_interview_interested] = '1'",,,,,,
withdrawal_interview_notes,contact_info,,notes,Notes,,,,,,,"[withdrawal_interview_interested] = '1'",,,,,,
contact_info_ts,contact_info,,text,"Form first saved on",,,datetime_seconds_ymd,,,,,,,,,," @NOW @READONLY @READONLY"
y2_endpoint,contact_info,"Study Endpoint",yesno,"Reached Two Year Endpoint?",,,,,,,,,,,,,
contact_reconsent,contact_info,,yesno,"Contacted About Reconsent?",,,,,,,,,,,,,
endpoint_notes,contact_info,,notes,Notes,,,,,,,,,,,,,
consent_date,consent,,text,"Consent date",,,date_dmy,,,,,y,,,,,
consent_taken_by,consent,,radio,"Consent taken by","1, Alina | 2, Katie | 3, Jessica | 4, Faith | 5, Carolin",,,,,,,y,,,,,
consent_permission,consent,"Consent items",yesno,"I give permission for my medical records to be looked at",,,,,,,,,,,,,
consent_future_studies,consent,,yesno,"I agree to be contacted about future studies",,,,,,,,,,,,,
consent_ts,consent,,text,"Form first saved on",,,datetime_seconds_ymd,,,,,,,,,," @NOW @READONLY @READONLY"
c4_reconsent,reconsent,,yesno,"Contacted for Re-consent?",,,,,,,,,,,,,
has_reconsented,reconsent,,yesno,"Has Reconsented?",,,,,,,,,,,,,
date_reconsent,reconsent,,text,"Date of Reconsent",,,date_dmy,,,,,,,,,,
reconsent_by,reconsent,,radio,"Reconsent Taken By:","1, Alina | 2, Katie | 3, Jessica | 4, Faith | 5, Carolin",,,,,,,,,,,,
med_records_perm,reconsent,,yesno,"I give permission for my medical records to be looked at:",,,,,,,,,,,,,
c4future_studies,reconsent,,yesno,"I agree to be contacted about future studies:",,,,,,,,,,,,,
reconsent_notes,reconsent,,notes,Notes,,,,,,,,,,,,,
study,study,,radio,Study,"1, MDD | 2, Epilepsy | 3, MS(depression) | 4, MS(Disability) | 5, Test",,,,,,,y,,,,,
enrolment_date,study,,text,"Enrolment Date",,"Date DD-MM-YY of enrolment into study (this field will be used to calculate survey schedules)",date_dmy,,,,,y,,,,,
main_contact_person,study,,radio,"Main contact person","1, Alina | 2, Katie | 3, Jessica | 4, Carolin",,,,,,,,,,,,
enable_survey_invite,study,,yesno,"Send automatic survey invitation?",,"Set this ""no"" if the participant should not receive surveys",,,,,,y,,,,,
visit,study,,text,Visit,,,integer,,,,,,,,,,
month,study,,text,"Month in study",,,integer,,,,,,,,,,
study_ts,study,,text,"Form first saved on",,,datetime_seconds_ymd,,,,,,,,,," @NOW @READONLY @READONLY"
fitbit_email,study_devices,FitBit,text,"FitBit Email Registration",,,email,,,y,,,,,,,
fitbit_password,study_devices,,text,"FitBit email Password",,,,,,y,,,,,,,
fitbit_firstname,study_devices,,text,"FitBit email first name",,,,,,y,,,,,,,
fitbit_lastname,study_devices,,text,"FitBit email last name",,,,,,y,,,,,,,
fitbit_dob,study_devices,,text,"FitBit DOB",,,date_dmy,,,y,,,,,,,
fitbit_serial,study_devices,,text,"FitBit Serial Number",,,,,,,,,,,,,
phone_status,study_devices,"Mobile Device",radio,"Phone status","0, Existing Android | 1, Switching from iPhone | 2, Switching from non-smartphone | 3, Upgrading existing Android",,,,,,,,,,,,
phone_brand,study_devices,,dropdown,"Phone Brand","1, Samsung | 2, HTC | 3, Sony | 4, Motorola | 5, Google | 6, OnePlus | 7, Nokia | 8, Other","e.g. ",,,,,,y,,,,,
phone_model,study_devices,,text,"Phone Model",,,,,,,,y,,,,,
old_mobile_device,study_devices,,text,"Old mobile device ",,"(in case the participant upgraded their phone)",,,,,,,,,,,
phone_imei_number,study_devices,,text,"Study phone IMEI number",,,,,,y,"[phone_status] = '1' or [phone_status] = '2' or [phone_status] = '3'",y,,,,,
android_version,study_devices,,text,"Android version",,,,,,,,,,,,,
phone_email_used,study_devices,,radio,"Phone email used","1, Study email | 2, Personal gmail","First email used to access phone",,,,,"[phone_status] = '1' or [phone_status] = '2'",,,,,,
contract_provided,study_devices,,radio,"Phone contract provided?","0, No | 1, Yes",,,,,,,,,,,,
contract_start,study_devices,,text,"Start date of phone contract",,,date_dmy,2017-11-28,2022-11-28,,"[contract_provided] = '1'",,,,,,
username,study_devices,,text,"GiffGaff username",,,,,,y,"[contract_provided] = '1'",,,,,,
giffgaff_password,study_devices,,text,"GiffGaff password",,,,,,,"[contract_provided] = '1'",y,,,,,
armt_installed,study_devices,Apps,yesno,"aRMT installed ",,,,,,,,,,,,,
armt_version,study_devices,,text,"aRMT Version Number",,,,,,,,,,,,,
armt_id_chk,study_devices,,yesno,"aRMT ID Check",,,,,,,,,,,,,
armt_id_date,study_devices,,text,"aRMT ID Check Date",,,date_dmy,,,,,,,,,,
prmt_installed,study_devices,,yesno,"pRMT installed",,,,,,,,,,,,,
prmt_id_chk,study_devices,,yesno,"pRMT ID Check",,,,,,,,,,,,,
prmt_id_date,study_devices,,text,"pRMT ID Check Date",,,date_dmy,,,,,,,,,,
thincit_installed,study_devices,,yesno,"THINC-it app installed",,,,,,,,,,,,,
thincit_id_chk,study_devices,,yesno,"THINC-it ID Check",,,,,,,,,,,,,
thincit_id_date,study_devices,,text,"THINC-it ID Check Date",,,date_dmy,,,,,,,,,,
mindstrong_installed,study_devices,,yesno,"Discovery by Mindstrong installed",,,,,,,,,,,,,
mindstrong_id_chk,study_devices,,yesno,"Mindstrong ID Check",,,,,,,,,,,,,
mindstrong_id_date,study_devices,,text,"Mindstrong ID Check Date",,,date_dmy,,,,,,,,,,
apps_notes,study_devices,,notes,"Notes on apps installed",,,,,,,,,,,,,
tech_literacy_notes,study_devices,,notes,"Tech literacy",,,,,,,,,,,,,
study_devices_ts,study_devices,,text,"Form first saved on",,,datetime_seconds_ymd,,,,,,,,,," @NOW @READONLY @READONLY"
adv_react_contact_date,adverse_reaction_and_missing_data,,text,"Contact date",,,date_dmy,,,,,,,,,,
adv_react_subj_id,adverse_reaction_and_missing_data,,text,Subject,,,,,,,,,,,,,
adv_react_notes,adverse_reaction_and_missing_data,,notes,Notes,,,,,,,,,,,,,
adv_react_ts,adverse_reaction_and_missing_data,,text,"Form first saved on",,,datetime_seconds_ymd,,,,,,,,,," @NOW @READONLY @READONLY"
dob,socio_demographics,"Participant ID: [subject_id]",text,"What is your date of birth?",,,date_dmy,,1999-10-15,,,y,,,,,
age,socio_demographics,,text,"What was your age at enrolment?",,,integer,18,,,,y,,,,,
gender,socio_demographics,,radio,"Are you:","0, Male | 1, Female",,,,,,,y,,,,,
gender_at_birth,socio_demographics,,radio,"What gender were you assigned at birth?","0, Male | 1, Female",,,,,,,y,,,,,
marital_status,socio_demographics,,radio,"Are you:","0,Single|1,Cohabiting with your partner|2,Married and living with your husband/wife|3,Married and separated from your husband/wife|4,Divorced|5,Widowed",,,,,,,y,,,,,
living_together,socio_demographics,,radio,"Are you living with someone in the household as a couple?","0,No|1,Yes",,,,,,,y,,,,,
children,socio_demographics,,radio,"Do you have children?","0,No|1,Yes",,,,,,,y,,,,,
no_of_children,socio_demographics,,text,"How many children do you have?",,,integer,,,,"[children]=""1""",y,,,,,
children_live_with_you,socio_demographics,,text,"How many children still live with you?",,,integer,,,,"[children]=""1""",y,,,,,
youngest_child_age,socio_demographics,,text,"How old is your youngest child? (in years)",,,number,0,100,,"[children] = '1'",y,,,,,
ethnicity_1,socio_demographics,"Choose one option that best describes your ethnic group or background.",radio,"What is your ethnic group or background?","0, English/Welsh/Scottish/Northern Irish/British | 1, Irish | 2, Gypsy or Irish Traveller | 3, Any other White background | 4, White and Black Caribbean | 5, White and Black African | 6, White and Asian | 7, Any other Mixed/Multiple ethnic background | 8, Indian | 9, Pakistani | 10, Bangladeshi | 11, Chinese | 12, Any other Asian background | 13, African | 14, Caribbean | 15, Any other Black/African/Caribbean background | 16, Arab | 17, Any other ethnic groups",,,,,,,y,,,,,
white_other,socio_demographics,,text,"Describe which other white background",,,,,,,"[ethnicity_1]=""3""",y,,,,,
mixed_other,socio_demographics,,text,"Describe which other mixed/multiple ethnic background",,,,,,,"[ethnicity_1]=""7""",y,,,,,
asian_other,socio_demographics,,text,"Describe which other Asian background",,,,,,,"[ethnicity_1]=""12"" ",y,,,,,
black_other,socio_demographics,,text,"Describe which other Black/African/Caribbean background",,,,,,,"[ethnicity_1]=""15""",y,,,,,
ethnic_other,socio_demographics,,text,"Describe which Other ethnic background",,,,,,,"[ethnicity_1]=""17"" ",y,,,,,
country,socio_demographics,Country,text,"What country were you born in?",,,,,,,,y,,,,,
eduction_finish_age,socio_demographics,Education,text,"How old were you when you finished your continuous full-time education or college?",,,integer,,,,,y,,,,,
drop_school_1,socio_demographics,,radio,"Did you drop out of school before the age of 15 before you received your qualification?","0,No|1,Yes",,,,,,,y,,,,,
qualifications,socio_demographics,,radio,"Have you got any qualifications of any sort?","0,No|1,Yes",,,,,,,y,,,,,
degree_1,socio_demographics,,radio,"Which if the following qualifications do you have?","0,Degree level qualification or above|1,A-Level or equivalent (HNDs, NVQ level 3, Highers)|2,GCSE level or equivalent (O-level, NVQ level 1-2)|3,Below GCSE level|4,Other qualifications|5,No qualifications",,,,,,,y,,,,,
benefits_type,socio_demographics,Benefits/Income,checkbox,"Are you currently receiving any of the following benefits in your own right, that is, where you are the named recipient?","0, Jobseekers allowance | 1, Employment support allowance | 2, Income support | 3, Family credit/working families tax credit | 4, State pension | 5, State pension credit | 6, Incapacity benefit | 7, Statutory sick pay | 8, Disability living allowance/working allowance | 9, Other | 10, No benefits",,,,,,,y,,,,,
benefits_type_other,socio_demographics,,text,"If 'other', please specify",,,,,,,"[benefits_type(9)] = '1'",y,,,,,
benefits,socio_demographics,,radio,"Do you or anyone else in your household receive Housing Benefit, either directly, or by having it paid to you or on your behalf?","0,No|1,Yes",,,,,,,y,,,,,
income_gbp,socio_demographics,,radio,"Which of the following represents your household's annual gross income (income from all sources before deductions for income tax and national insurance","0, Less than £15,000|1,£15,000-£24,000|2,£24,000-£40,000|3,£40,000-£55,000|4,More than £55,000",,,,,,,y,,,,,
income_contribution,socio_demographics,,text,"How many people contribute to the household income?",,,integer,,,,,y,,,,,
accommodation,socio_demographics,Accommodation,radio,"In which of these ways do you occupy your accommodation?","0, Own outright | 1, Buying it with the help of a mortgage or loan | 2, Share Pay part rent and part mortgage (shared ownership) | 3, Rent it from Local Authority | 4, Rent it from Voluntary sector | 5, Rent it from Private landlord | 6, Live here rent-free (including rent-free in relatives/friends property, excluding squatting) | 7, Squatting",,,,,,,y,,,,,
accommodation_satisfaction,socio_demographics,,radio,"How satisfied are you with this accommodation?","0,Very dissatisfied|1,Slightly dissatisfied|2,Neither satisfied nor dissatisfied|3,Fairly satisfied|4,Very satisfied",,,,,,,y,,,,,
utilities,socio_demographics,,checkbox,"Have there been times during the past year when you were seriously behind in paying within the time allowed for any of these items","0,Rent|1,Gas|2,Electricity|3,Water|4,Goods on hire purchase|5,Mortgage repayments|6,Council Tax|7,Credit card payments|8,Telephone|9,Other loans|10,None of these",,,,,,,y,,,,,
contacts_weekly,social_environment,,checkbox,"In a typical week, how many of the following people do you come into contact with? By contact we mean talking either face-to-face or by phone","0, Partner | 1, Parent | 2, Brother/sister | 3, In-laws | 4, Other relatives | 5, Close friends | 6, Neighbours | 7, Co-workers | 8, Boss/supervisor | 9, Other acquaintances | 10, Helping professionals | 11, Member of the same group or club | 12, None",,,,,,,y,,,,,
contacts_help,social_environment,,radio,"If you were in trouble or needed help, is there someone you could contact who would help you?","0,No|1,Yes",,,,,,,y,,,,,
mh_family_depr,medical_history,,checkbox,"Have any of the following family members ever had depression","0, Parents | 1, Siblings | 2, Children | 3, None",,,,,,,y,,,,,
mh_relatives_depr,medical_history,,radio,"Have any other relatives ever had depression?","0,No|1,Yes",,,,,,,y,,,,,
mh_relatives_depr_who,medical_history,,text,"If any other relatives ever had depression, who",,,,,,,"[mh_relatives_depr] = '1'",y,,,,,
mh_smoking,medical_history,,radio,"Do you smoke?","0,No, I have never smoked|1,I do not smoke at the moment, but I have smoked in the past|2,Yes",,,,,,,y,,,,,
mh_cigarettes_num,medical_history,,text,"If you smoke,how many cigarettes, cigars or rollups do you smoke per day?",,,integer,,,,"[mh_smoking] = '2'",y,,,,,
mh_smoke_wakingup,medical_history,,radio,"How long after waking up do you have your first cigarette/cigar or rollup?","0,Within 5 minutes|1,6-30 minutes|2,31-60 minutes|3,After 60 minutes",,,,,,"[mh_smoking] = '2'",y,,,,,
